Item name,Quantity,Price,Source
Overture Matte Pla; Black,4,$76.00,https://www.amazon.com/gp/product/B089S2QDHD/ref=ox_sc_act_title_1?smid=A3M6OB6YPLO1C&psc=1
Overture Matte Pla; White,1,$19.00,https://www.amazon.com/gp/product/B089S2QDHD/ref=ox_sc_act_title_1?smid=A3M6OB6YPLO1C&psc=1
3d Gloop; Pla,,$34.99,https://www.3dgloop.com/shop/pla-gloop
Plywood; Home Depot,2,$40.00,https://www.homedepot.com/p/Handprint-1-2-in-x-2-ft-x-4-ft-BCX-Sanded-Plywood-Actual-0-451-in-x-23-75-in-x-47-75-in-109119/202093833
White Board Material; Home Depot,1,$9.00,https://www.homedepot.com/p/3-16-in-2-ft-x-4-ft-Black-Chalk-White-Marker-MDF-Board-00066/313382855
Fake Plant Wall Material;Home Depot,1,$60.00,https://www.homedepot.com/p/Ejoy-20-in-H-x-20-in-W-GorgeousHome-Artificial-Boxwood-Hedge-Greenery-Panels-Milan-12-pc-Milan-12pc/314160722
Ikea Light Bar,2,$52.00,https://www.ikea.com/us/en/p/mittled-led-kitchen-cntrtp-lighting-strip-dimmable-white-00455420/#content
Table Top: Ikea,2,$46.00,https://www.ikea.com/us/en/p/lagkapten-tabletop-black-brown-00487015/
Light Strip,2,$16.00,https://www.ikea.com/us/en/p/vattensten-led-light-strip-white-00530542/
Total,,$352.99,
Note: The Prices are for all the prices combined not just the price of one product,,,
